1 啊！老师，多么神圣的职务啊;啊！老师，多么的刻敬职守啊
1 如果追求是一首歌，那么放弃安逸就是那最激昂的旋律;如果追求是一幅画，那么笑傲苦难就是那最靓丽的色彩
1 如果追求是一幅画，那么笑傲苦难就是那最靓丽的色彩;如果追求是一杯酒，那么永不言弃就是那最香醇的味道。舞动追求的翅膀，收获人生的幸福。
1 如果说人生是一首优美的乐曲，那么痛苦则是一个不可缺少的音符;如果说人生是一望无际的大海，那么挫折则是其中一朵骤然翻起的浪花
1 如果说人生是一望无际的大海，那么挫折则是其中一朵骤然翻起的浪花;如果说人生是湛蓝的天空，那么失意则是天际一朵漂浮的白云。
1 如果说生命是一本书，那么时间则是一支笔，书写着人生;如果说生命是一张白纸，那么时间则是一把颜料，描绘着人生
1 如果说生命是一张白纸，那么时间则是一把颜料，描绘着人生;如果说生命是一条长河，那么时间则是涌动的波涛，推动着人生
1 如果说生命是一条长河，那么时间则是涌动的波涛，推动着人生;如果说生命是一棵树，那么时间则是一片片绿叶，充实着人生
1 如果说生命是一棵树，那么时间则是一片片绿叶，充实着人生;如果说生命是一扇门，那么时间则是一把钥匙，开启着人生
1 如果说生命是一扇门，那么时间则是一把钥匙，开启着人生;如果说生命是一杯咖啡，那么时间则是一袋佐料，调味着人生
1 如果说生命是一杯咖啡，那么时间则是一袋佐料，调味着人生;如果说生命是一场戏，那么时间则是无名主人公，演绎着人生
1 如果说生命是一场戏，那么时间则是无名主人公，演绎着人生;如果说生命是一幅画，那么时间则是调色盘，渲染着人生
1 如果说生命是一幅画，那么时间则是调色盘，渲染着人生;如果说生命是一匹快马，那么时间则是一块绿地，承受着人生
1 如果说生命是一匹快马，那么时间则是一块绿地，承受着人生;如果说生命是一块绿地，那么时间则是一场春雨，滋润着人生。
1 如果说人生是一本书，那么，军训的生活便是这本书中最美丽的章节;如果说人生是一出戏，那么，军训的生活便是这出戏中最精彩的一幕。
1 如果说创新是一颗常青树，那么，浇灌它的必定是出自心田的清泉;如果说创新是一朵开不败的鲜花，那么，照耀它的必定是从心中升起的太阳。
1 如果说友谊是一颗常青树，那么，浇灌它的必定是出自心田的清泉;如果说友谊是一朵开不败的鲜花，那么，照耀它的必定是从心中升起的太阳。
1 如果没有目标，世界将会失去光彩;如果没有目标，世界将会坠入迷茫
1 如果没有目标，世界将会坠入迷茫;如果没有目标，世界将会失去奋斗
1 如果没有目标，世界将会失去奋斗;如果没有目标，世界将会没有成功。
1 如果忘记是春天里消逝的冰层，那么铭记就是灼灼其华的桃花;如果忘记是夏季里落英缤纷的桃瓣，那么铭记就是映日别样红的荷花
1 如果忘记是夏季里落英缤纷的桃瓣，那么铭记就是映日别样红的荷花;如果忘记是秋季里已无挈雨盖的荷花，那么铭记就是犹有傲霜枝的金菊
1 如果忘记是秋季里已无挈雨盖的荷花，那么铭记就是犹有傲霜枝的金菊;如果忘记是冬季里比西风更瘦的残菊，那么铭记就是傲雪独立、犹有暗香的雪梅！
1 如果你种下的是莠子，秋天收获的定是一片杂草;如果你种下的是稗子，秋天收获的定是一把稗子
1 如果你种下的是稗子，秋天收获的定是一把稗子;如果你什么也不种，秋天收获的则是一片空白。
1 如果我是一只小鸟，我渴望飞翔在广阔的天空;如果我是一条小鱼，我渴望遨游在浩瀚的大海
1 如果我是一条小鱼，我渴望遨游在浩瀚的大海;如果我是一朵小花，我渴望生长在美丽的花园。
1 如果说，坚强是一个常青的树，那么浇灌它的必定是持之以恒的意志;如果说，坚强是一朵不败的花，那么照耀它的必定是心中不落的太阳
1 如果说，坚强是一朵不败的花，那么照耀它的必定是心中不落的太阳;如果说，坚强是一笔永久的财富，那么拥有它的必定是百折不挠的人。
1 如果说爱是三月淅沥的春风，感恩就是小草吐露的新绿;如果说爱是初夏生机的日光，感恩就是材木成长的浓绿
1 如果说爱是初夏生机的日光，感恩就是材木成长的浓绿;如果说爱是冬日洁白的雪花，感恩就是颗粒饱满的小麦
1 如果说父爱是一首和谐的歌，那么我就是一张七彩的唱片，等待着灿烂的点缀;如果说父爱是一个音符，那么我就是一首和谐的歌，等待着音符的衬托
1 如果说父爱是一个音符，那么我就是一首和谐的歌，等待着音符的衬托;如果说父爱是一架钢琴，那么我就是一个音符，等待着钢琴的跳动。
1 如果说沟通是小草，那么语言就是那和暖的春风，让小草更青更壮;如果说沟通是黑夜，那语言就是夜幕中那明亮的繁星，让天空更加明朗
1 如果说沟通是黑夜，那语言就是夜幕中那明亮的繁星，让天空更加明朗;如果说沟通是风帆，那么语言是风，将人与人之间的小船送向更美好的未来。
1 如果没有医生，就不会有那么多重见光明的天使;如果没有医生，就不会有那么多新生命的欢笑
1 如果没有医生，就不会有那么多新生命的欢笑;如果没有医生，就没有那么多亲人们感动的泪花！
1 如果忘记是春天里消逝的冰层，那么铭记就是灼灼其华的桃花;如果忘记是夏季里落英缤纷的桃瓣，那么铭记就是映日别样红的荷花
1 如果忘记是夏季里落英缤纷的桃瓣，那么铭记就是映日别样红的荷花;如果忘记是秋季里已无挈雨盖的荷花，那么铭记就是犹有傲霜枝的金菊
1 如果忘记是秋季里已无挈雨盖的荷花，那么铭记就是犹有傲霜枝的金菊;如果忘记是冬季里比西风更瘦的残菊，那么铭记就是傲雪独立、犹有暗香的雪梅！
1 如果你是大海，何必在乎别人把你说成小溪;如果你是峰峦，何必在乎别人把你当作平地
1 如果你是峰峦，何必在乎别人把你当作平地;如果你是春色，何必为一朵花的凋零叹息
1 如果你是春色，何必为一朵花的凋零叹息;如果你是种子，何必为还没有结出果实着急
1 如果你是种子，何必为还没有结出果实着急;如果你就是你，那就静静微笑，沉默不语。
1 如果你是一粒种子，亲情就是土壤，为你提供生长必要的养分;如果你是一株小草，亲情就是大树，为你张开挡风遮雨长臂
1 如果你是一株小草，亲情就是大树，为你张开挡风遮雨长臂;如果你是汪洋中的一艘船，亲情就是灯塔，为你指引返航的归程
1 如果你是汪洋中的一艘船，亲情就是灯塔，为你指引返航的归程;如果你是一条小河，亲情就是大海，为你永远敞开那包容的胸怀。
1 如果你是绿叶，亲情便是那供你源源不断养分的枝干;如果你是船帆，亲情便是那推你不断前进直到胜利彼岸的海风
1 如果你是船帆，亲情便是那推你不断前进直到胜利彼岸的海风;如果你是夜行者，亲情便是那照你寻找方向的北斗
1 如果你是夜行者，亲情便是那照你寻找方向的北斗;如果你是种子，亲情便是那使你离开黑暗走向光明的土地
1 如果你是种子，亲情便是那使你离开黑暗走向光明的土地;如果你是小鸟，亲情便是那任你飞翔的广阔天空。
1 如果你能使一朵花儿快乐，不用自己的手随意折毁它，那么鲜花也会使你快乐，在你苦闷烦恼时为你送上一束醉人的温馨;如果你能使一条小溪快乐，不把生活的污秽随意抛向它们，那么小溪也会使你快乐，在你口干舌燥时为你送来一捧甜蜜的甘露
1 如果你能使一条小溪快乐，不把生活的污秽随意抛向它们，那么小溪也会使你快乐，在你口干舌燥时为你送来一捧甜蜜的甘露;如果你能使一棵小草快乐，不用自己的脚随意践踏它，那么小草也会使你快乐，在你满目枯黄时为你送上一抹耀眼的新绿
1 如果你能使一棵小草快乐，不用自己的脚随意践踏它，那么小草也会使你快乐，在你满目枯黄时为你送上一抹耀眼的新绿;如果你能使一方泥土快乐，不随意地占用糟践它们，那么泥土也会使你快乐，在你饥肠辘辘时为你奉上一缕稻麦的清香。
1 如果一滴水代表一个祝福，我送你一个东海;如果一颗星代表一份快乐，我送你一条银河
1 如果一颗星代表一份快乐，我送你一条银河;如果一棵树代表一缕思念，我送你一片森林。
1 如果选择安逸，生于纨绔的巴金，又怎能痛彻人生，挥毫着就激流三部曲;如果选择安逸，身陷残疾的张海迪又怎么会把自己绑在椅子上练习针灸
1 如果选择安逸，身陷残疾的张海迪又怎么会把自己绑在椅子上练习针灸;如果选择安逸，古稀之年的谈迁，又怎么会重写一部《国榷》。
1 生命是一眼清泉，滋润万物给人以希望生命的内敛之美;生命是一杯清茶，沁人心脾给人以芬芳生命的奔放之美
1 生命是一杯清茶，沁人心脾给人以芬芳生命的奔放之美;生命是一匹野马纵横驰骋给人以力量。
1 生命是一首诗，清新自然;生命是一杯茶，苦尽甘来
1 生命是一杯茶，苦尽甘来;生命是一本书，知识无穷。
1 生命是一片照射在冬日的阳光，使贫病交迫的人感到人间的温暖;生命是一泓出现在沙漠里的泉水，使濒临绝境的人重新看到生活的希望
1 生命是一泓出现在沙漠里的泉水，使濒临绝境的人重新看到生活的希望;生命是一首飘荡在夜空的歌谣，使孤苦无依的人获得心灵的慰藉。
1 生命是小草，脆弱但却坚强;生命是大河，生生不息
1 生命是大河，生生不息;生命是云朵，变化莫测。
1 生命是夕阳衬落日;生命是青松立峭壁
1 生命是青松立峭壁;生命是万里平沙落秋雁
1 生命是万里平沙落秋雁;生命是三月阳春和白雪。
1 生命是石头下的小草不屈的破土的声音;生命是风雪中的寒梅傲然的挺立的姿态
1 生命是风雪中的寒梅傲然的挺立的姿态;生命是逆风上的大雁奋力前行的执着。
1 生命是石，摩擦星星之火;生命是火，点燃黑暗的灯
1 生命是火，点燃黑暗的灯;生命是灯照亮前方的路
1 生命是灯照亮前方的路;生命是路，铺满粒粒碎石。
1 生命是破土而出的树苗，越是生长在艰苦的环境下，越能凸显它的顽强;生命是浴火重生的凤凰，越是经历了磨难与煎熬，越能凸显它的光彩
1 生命是浴火重生的凤凰，越是经历了磨难与煎熬，越能凸显它的光彩;生命是埋没在沙漠里的金子，越是无人能够发现，当它湛湛发光的出现在眼前，越能凸显它的价值。
1 生命是母爱的慈祥;生命是父爱的严厉
1 生命是父爱的严厉;生命是爱人的柔情
1 生命是爱人的柔情;生命是朋友的关切
1 生命是朋友的关切;生命是是感情的组合体。
1 生命是精美的小诗，清新流畅，意蕴悠长;生命是优美的乐曲，音律和谐，婉转悠扬
1 生命是优美的乐曲，音律和谐，婉转悠扬;生命是流淌的江河，奔流不息，滚滚向前
1 生命是流淌的江河，奔流不息，滚滚向前;生命是翱翔的雄鹰，搏击蓝天，展翅高飞
1 生命是翱翔的雄鹰，搏击蓝天，展翅高飞;生命是绵延的山峰，壮丽挺拔，雄伟耸立。
1 生命是火，燃烧你的信念;生命是光，指引你的方向
1 生命是光，指引你的方向;生命是夜，珍藏你的梦想
1 生命是夜，珍藏你的梦想;生命是孑，留下你的忧伤。
1 生命是龚自珍“落红不是无情物，化作春泥更护花”的献身精神;生命是文天祥“人生自古谁无死，留取丹心照汗青”的浩然正气
1 生命是文天祥“人生自古谁无死，留取丹心照汗青”的浩然正气;生命是苏东坡“谁道人生无再少，门前流水尚能西”的超脱与豁达
1 生命是苏东坡“谁道人生无再少，门前流水尚能西”的超脱与豁达;生命是杜甫“感时花溅泪，恨别鸟惊心”的无奈与感伤。
1 生命是春日里的花海，绚烂多姿;生命是冬日的落阳，放射光芒
1 生命是冬日的落阳，放射光芒;生命是阳光下的雨露，转瞬即逝
1 生命是阳光下的雨露，转瞬即逝;生命是沙漠里的仙人掌，不屈不饶。
1 生命是春，充满生趣盎然;生命是夏，充满热情奔放
1 生命是夏，充满热情奔放;生命是秋，充满冷酷不羁
1 生命是秋，充满冷酷不羁;生命是冬，充满寒幽肃飒。
1 生命是初生的无知;生命是少年的纯真
1 生命是少年的纯真;生命是青年的朝气
1 生命是青年的朝气;生命是中年的稳健
1 生命是中年的稳健;生命是老年的豁达。
1 大树的美丽，是展现在它不屈向上高耸入云的蓬勃生机中;雄鹰的美丽，是展现在它搏击风雨如苍天之魂的翱翔中
1 雄鹰的美丽，是展现在它搏击风雨如苍天之魂的翱翔中;江河的美丽，是展现在它波涛汹涌一泻千里的奔流之中。
1 善意的谎言是人与人之间的调味料，它让生活有滋有味;善意的谎言是爱的摇篮，它让生活充满祈盼
1 善意的谎言是爱的摇篮，它让生活充满祈盼;善意的谎言是爱延续，它让生活远离愤怒
1 善意的谎言是爱延续，它让生活远离愤怒;善意的谎言是生活的润滑剂，它让我们的生活更加和谐。
1 善意的谎言给予人帮助;善意的谎言给予人快乐
1 善意的谎言给予人快乐;善意的谎言给予人温暖。
1 善良是一种美;善良是一种远见
1 善良是一种远见;善良是一种自信
1 善良是一种自信;善良是一种精神力量
1 善良是一种精神力量;善良是一种以逸待劳的沉稳
1 善良是一种以逸待劳的沉稳;善良是一种文化
1 善良是一种文化;善良是一种快乐
1 善良是一种快乐;善良一种乐观。
1 善良是春日里的和煦微风;善良是炎热夏日的清凉饮品
1 善良是炎热夏日的清凉饮品;善良是秋日收获的喜悦
1 善良是秋日收获的喜悦;善良是冬日里温暖的阳光。
1 善良是一种“风送花香红满地，雨滋春树碧连天”最初的的纯洁;善良是一种“花落花飞花满天，红销香逝有谁怜”黛玉葬花的善心
1 善良是一种“花落花飞花满天，红销香逝有谁怜”黛玉葬花的善心;善良是一种“七尺之躯搏长空，信念何重身何轻”李剑英的奉献。
1 善良是黑夜的月光，给夜行的人照亮前行的路;善良是寒冬的暖阳，给寒冷的人些许温暖的光
1 善良是寒冬的暖阳，给寒冷的人些许温暖的光;善良是酷暑的微风，给闷热的人一丝期待的凉。
1 善良是职责，要用一生去完成;善良是鲜花，要用清水去浇灌
1 善良是鲜花，要用清水去浇灌;善良是烛光，要用心火去点燃
1 善良是烛光，要用心火去点燃;善良是珍珠，要用道德去购买。
1 善良是一棵生机无穷的种子，只要你舍得播种，就会有你意想不到的甜果;善良是一束美丽的玫瑰，当你赠送他人时，也为你自己留下了满室的芬芳
1 善良是一束美丽的玫瑰，当你赠送他人时，也为你自己留下了满室的芬芳;善良是冬天里的太阳，在照耀了他人的同时，也温暖了你自己
1 善良是冬天里的太阳，在照耀了他人的同时，也温暖了你自己;善良是充满芬芳的香水，当洒在别人身上时，自己也会溅到两三滴。
1 善良，不是容颜的闭月羞花，不是举止的温文尔雅，不是财富的腰缠万贯;更不是权势的叱咤风云。
1 善良的人，即使没有巍峨高山的冷峻与清峭，也可以有平川凡壑的踏实与稳健;即使没有牡丹玫瑰的雍容绚丽，也可以有芙蓉夕醉的高洁与典雅。善良的人，即使不能居庙堂之高来兼济天下，也可以处江湖之远独善其身。
1 泪水，是由一滴滴泪珠汇集而成的;泪水，是由一次次失败形成的
1 泪水，是由一次次失败形成的;泪水，是由于兴奋、激动的心情导致的
1 泪水，是由于兴奋、激动的心情导致的;泪水，是母亲那无人知晓的辛酸绘成的。
1 水有时候很温柔，如涓涓细流;水有时候很暴躁，冲坏了堤坝在咆哮。
1 水是素质的高雅，是花园的恬静;水是万物的圣洁，是珍珠的梦幻
1 水是万物的圣洁，是珍珠的梦幻;水是母亲的温柔，是父亲的宽厚。
1 水是甘甜的，但有时又是苦涩的;水是宝贵的，但有时它又泛滥成灾
1 水是宝贵的，但有时它又泛滥成灾;水是清冽的，但在一些地方它却变得污浊不堪。
1 社会是舞台，年轻人施展才华的地方;社会是染缸，把我们的单纯染成五颜六色
1 社会是染缸，把我们的单纯染成五颜六色;社会是大熔炉，定会提炼真金。
1 生活是一杯酒，散发着迷人的醇香;生活是一本书，蕴涵着深刻的哲理
1 生活是一本书，蕴涵着深刻的哲理;生活是一首歌，奏着高低不一的音符。
1 生活是一团麻，那也是麻绳拧成的花;生活是一根线，也有那解不开的小疙瘩
1 生活是一根线，也有那解不开的小疙瘩;生活是一条路，怎能没有坑坑洼洼
1 生活是一条路，怎能没有坑坑洼洼;生活是一杯酒，饱含着人生酸甜苦辣
1 生活是一杯酒，饱含着人生酸甜苦辣;生活是七彩缎，那也是一幅难描的画
1 生活是七彩缎，那也是一幅难描的画;生活是一片霞，却又常把那寒风苦雨洒呀
1 生活是一片霞，却又常把那寒风苦雨洒呀;生活是一条藤，总结着几个苦涩的瓜
1 生活是一条藤，总结着几个苦涩的瓜;生活是一首歌，吟唱着人生悲喜交加。
1 失败虽然是人人不愿得到的结果，但有时却能激发人们坚韧的力;贫困虽然是人人不愿过的生活，但有时却能成为人们奋斗的动力
1 贫困虽然是人人不愿过的生活，但有时却能成为人们奋斗的动力;痛苦虽然是人人不愿经受的情感，但有时却能造就人们刚强的性格。
1 是军训，让我们拥有战胜困难的勇气;是军训，让我们懂得团结互助
1 是军训，让我们懂得团结互助;是军训，开启了我们辉煌的青春。
1 师爱如春风，拂过我的心胸;师爱如甘露，滋润我的心田
1 师爱如甘露，滋润我的心田;师爱如阳光，照耀我快乐成长。
1 师爱是我们心中的指明灯，让我们前进;师爱是我们心中的蜡烛，温暖我们的心灵
1 师爱是我们心中的蜡烛，温暖我们的心灵;师爱是天空的细雨滋润我们的心灵。
1 师爱是细雨，滋润孩子们干涸的心田;师爱是阳光，温暖孩子们幼小的心灵
1 师爱是阳光，温暖孩子们幼小的心灵;师爱是明灯，照亮孩子们前途的路。
1 师爱，如一碗苦味浓浓的中药，使我警醒;师爱，如一杯清甜美味的蜂蜜，给我鼓励
1 师爱，如一杯清甜美味的蜂蜜，给我鼓励;师爱，如一捧清澈明亮的春水，冲走我内心的阴霾
1 师爱，如一捧清澈明亮的春水，冲走我内心的阴霾;师爱，是我不可或缺的爱。
1 师爱，如一副拐杖，支撑着柔弱的我们走上高尚的阶梯;师爱，如一张风帆，带着我们乘坐小船驶向成功的彼岸
1 师爱，如一张风帆，带着我们乘坐小船驶向成功的彼岸;师爱，如一股神力，帮助疲惫不堪的我们摘取成功的桂冠！
1 师爱是火种，点燃了学生的心灵之火;师爱是石级，承受着学生一步步踏实地向上攀登。师爱是一支蜡烛，虽然细弱，但有一分热，发一分光。
1 时光就像一把皮鞭，它能鞭策我们追赶人生的目标;时间犹如一面战鼓，时光能催我们加快前进的脚步到达终点
1 时间犹如一面战鼓，时光能催我们加快前进的脚步到达终点;时光好比一阵清风，它能帮助我们吹散心头的愁云
1 时光好比一阵清风，它能帮助我们吹散心头的愁云;时间如同一场细雨，它能协助我们洗去心头的杂质。时光好比一池清泉，它能帮助我们洗涤心灵上的污垢
1 时间如同一场细雨，它能协助我们洗去心头的杂质。时光好比一池清泉，它能帮助我们洗涤心灵上的污垢;时光如同一股流水，它能协助我们冲淡心灵上痛苦的回忆
1 时光如同一股流水，它能协助我们冲淡心灵上痛苦的回忆;时光好比一剂良药，它能帮助我们减轻心灵上伤痛
1 时光好比一剂良药，它能帮助我们减轻心灵上伤痛;时光如同一把利刃，它能协助我们切除思想上的毒瘤。时间好象一把尺子，它能衡量奋斗者前进的进程
1 时光如同一把利刃，它能协助我们切除思想上的毒瘤。时间好象一把尺子，它能衡量奋斗者前进的进程;时光如同一架天平，它能称量奋斗者成果的重量。
1 时光是滚滚奔流的江水，能把幻想冲刷得无影无踪;时光是熊熊燃烧的烈火，能把美梦烧得灰飞烟灭
1 时光是熊熊燃烧的烈火，能把美梦烧得灰飞烟灭;时间是隆隆前行的巨轮，能把谎言辗得尸骨无存。
1 时光是夹着冰雪的风暴，会染白我们青春的额头;时光是一道湍急的江流，会淹没我们生命的行舟。
1 时间好象一把尺子，它能衡量奋斗者前进的进程;时间如同一架天平，它能称量奋斗者成果的重量
1 时间如同一架天平，它能称量奋斗者成果的重量;时间就像一把皮鞭，它能鞭策我们追赶人生的目标
1 时间就像一把皮鞭，它能鞭策我们追赶人生的目标;时间犹如一面战鼓，它能激励我们加快前进的脚步。
1 赏识不是单向的施舍，是智慧与智慧的主动碰撞;赏识不是别有用心的廉价恭维，是对一种相对价值的公正认可
1 赏识不是别有用心的廉价恭维，是对一种相对价值的公正认可;赏识不是谀词满口的鄙俗奉承，而是对事物固有魅力的真诚。
1 书籍好比一架梯子，它能引导我们登上知识的殿堂;书籍如同一把钥匙，它能帮助我们开启心灵的智慧之窗。
1 书中自少年五彩的梦;书中自有中年朴质的影
1 书中自有中年朴质的影;书中自有老年夕阳的红。
1 书是钥匙，能开启智慧之门;书是阶梯，帮助人们登上理想的高峰
1 书是阶梯，帮助人们登上理想的高峰;书是良药，能医治愚昧之症
1 书是良药，能医治愚昧之症;书是乳汁，哺育人们成长。
1 伸出粗糙的手，为人民服务;伸出充满力量的手，给予你努力坚持的意志
1 伸出充满力量的手，给予你努力坚持的意志;伸出温柔的手，轻轻的抚摸你、安慰你。
1 思考能明辨事理;思考能帮助判断
1 思考能帮助判断;思考能解决烦恼
1 思考能解决烦恼;思考能平静内心
1 思考能平静内心;思考能使人进步
1 思考能使人进步;思考能帮助发现
1 思考能帮助发现;思考能加深认识
1 思考能加深认识;思考能引起共鸣。
1 天上的月亮真圆啊，圆的像个大西瓜;天上的月亮真亮啊，亮得能把整个漆黑的夜晚都照亮
1 团结就是鼓舞;团结就是士气
1 团结就是士气;团结就是力量。
1 团结就是万众一心，众人划桨开大船，划出人生的新航程;团结就是齐心合力，一个篱笆三个桩，圈起自己的一片天
1 团结就是齐心合力，一个篱笆三个桩，圈起自己的一片天;团结就是携手共进，心手相连筑长城，无论风雨都撼不倒。
1 团结是希望之光，让我们携手成长，共同进步;团结是信念，团结一心，众志成城
1 团结是信念，团结一心，众志成城;团结是阳光，在苦难里的一抹真诚阳光。
1 团结是一道光，照亮了我们前进的路途;团结是一阵风，吹散了我们艰难的苦恼
1 团结是一阵风，吹散了我们艰难的苦恼;团结是一首歌，唱出了我们成功的喜悦。
1 团结，是与他人共同合作;团结，是胜利的保证
1 团结，是胜利的保证;团结，等于创造奇迹！
1 团结是什么？团结是拔河比赛时，人人不留余力的奋力拼搏;团结是什么？团结是比赛场下那异口同声的加油声
1 团结是什么？团结是比赛场下那异口同声的加油声;团结是什么？团结是一方有难八方支援。
1 桃花像一只闹钟，它唤醒沉睡的小草，给大自然增添一份色彩;桃花像一幅画，它收集大自然的色彩，让花儿们在画中争芳斗艳
1 桃花像一幅画，它收集大自然的色彩，让花儿们在画中争芳斗艳;桃花像一个魔术师，它变来了飞翔的小鸟，给天空当做礼物。
1 映照着带露的小草;映照着美丽的花儿
1 映照着美丽的花儿;映照着清澈的池塘。
1 挑选博爱，即是挑选对情感的珍爱;挑选博爱，即是挑选对万物的留恋
1 挑选博爱，即是挑选对万物的留恋;挑选博爱，即是挑选高远的人生志趣。
1 倘若我是跋涉千里的夜行者，母亲必是那重重夜幕里一盏温柔的灯光，远远的为我亮着，轻唤我迟疑的脚步;倘若我只是自怨自艾的蹩脚演员，母亲必是那热烈的掌声，呼唤我自信，鞭策我努力
1 倘若我只是自怨自艾的蹩脚演员，母亲必是那热烈的掌声，呼唤我自信，鞭策我努力;倘若我是条嬉戏的小游鱼儿，母亲必是那一汪碧绿的湖水，在包容我顽皮任任性的同时，也将我的快乐涟漪般一圈圈的扩散了去。
1 《童年》似一壶苦涩的茶，浸泡出人生的艰辛;《水浒传》是一碗浓烈的酒，酝酿出英雄的豪气
1 《水浒传》是一碗浓烈的酒，酝酿出英雄的豪气;《朝花夕拾》似一条历史的河，承载着真实的回忆
1 《朝花夕拾》似一条历史的河，承载着真实的回忆;《钢铁是怎样炼成的》似一盏点亮的灯，指引出前进的方向。
1 童年是一个谜，混沌初开，稚嫩好奇;少年是一幅画，色彩绚丽，烂漫天真
1 少年是一幅画，色彩绚丽，烂漫天真;青年是一首诗，浪漫潇洒，热情开朗。
1 童年就像鸡尾酒，色彩斑斓，甜美之味令人回味;青年就像冰镇的啤酒，色彩浓黑，清凉的同时又让人觉得苦涩
1 青年就像冰镇的啤酒，色彩浓黑，清凉的同时又让人觉得苦涩;中年就像烈性酒，纯净无色，辛辣之味使你五脏六腑都会灼热
1 中年就像烈性酒，纯净无色，辛辣之味使你五脏六腑都会灼热;老年就像葡萄酒，久存弥香，滴滴让你感受到香中之甜。
1 童年是記憶深處的一顆火種;童年是人生初始的一段陽光
1 童年是人生初始的一段陽光;童年是小巷深處的一首歌謠
1 童年是小巷深處的一首歌謠;童年是高遠天空的一只紙鳶。
1 童年是人生的開端;童年是生命的起點
1 童年是生命的起點;童年是沒有塗字的白紙
1 童年是沒有塗字的白紙;童年是花朵上的露珠
1 童年是花朵上的露珠;童年是出生的太陽
1 童年是出生的太陽;童年是美麗的春天。
1 童年是色彩斑斕的畫冊，裝載著美好的回憶;童年是一條清澈的河流，流淌著飛騰的浪花
1 童年是一條清澈的河流，流淌著飛騰的浪花;童年是一束燦爛的鮮花，芬芳了多少快樂和幸福。
1 童年是一架紙飛機，無憂無慮;童年是一朵花骨朵兒，嬌顏稚嫩
1 童年是一朵花骨朵兒，嬌顏稚嫩;童年是一張舊相片，回味無窮
1 童年是一張舊相片，回味無窮;童年是一株新發的小草，欣欣向榮
1 童年是一株新發的小草，欣欣向榮;童年是一雙眼睛，天真無邪。
1 童年是什么？是一支筆，一支色彩豐富的筆;是一首歌，一首煥發向上的歌
1 是一首歌，一首煥發向上的歌;是一股泉，一股清澈透亮的泉
1 是一股泉，一股清澈透亮的泉;童年，更是一朵花，一朵多姿多彩的花。
1 童年是一座樂園，讓我們自由玩耍;童年是一片藍天，任我們自由飛翔
1 童年是一片藍天，任我們自由飛翔;童年是一個美夢，夢醒後就不再天真
1 童年是一個美夢，夢醒後就不再天真;童年是一個魔方，轉出幼時的喜、怒、哀、樂
1 童年是天空中的繁星，一眨，眨出一個個神秘的故事;童年是海邊的海螺，一傳，傳出一陣陣動聽的歌聲
1 童年是海邊的海螺，一傳，傳出一陣陣動聽的歌聲;童年是一只船槳，一晃，晃出一個個動人的童話。
1 童年是甜滋滋的棉花糖，讓人回味無窮;童年是一張張照片，讓人回憶
1 童年是一張張照片，讓人回憶;童年是一首快樂的歌謠，讓人沉睡。
1 童年是小草的芽兒，充滿了生機;童年是早晨的太陽，充滿了活力
1 童年是早晨的太陽，充滿了活力;童年是清潤的雨水，充滿了歡樂。
1 童年是小姑娘發稍的紅頭繩;童年是小姑娘頭上的蝴蝶結
1 童年是小姑娘頭上的蝴蝶結;童年是小姑娘手中的牽牛花
1 童年是小姑娘手中的牽牛花;童年是小夥子手中的泥娃娃
1 童年是小夥子手中的泥娃娃;童年是小夥子心裏的保國家
1 童年是小夥子心裏的保國家;童年是小夥子還能光著小腳丫。
1 痛苦是黑暗中的摸索，前进的路途中满是坎坷;痛苦是无人理解的悲哀，无助的面对一切挫折
1 痛苦是无人理解的悲哀，无助的面对一切挫折;痛苦是心灵最深的折磨，无泪且无法直言
1 痛苦是心灵最深的折磨，无泪且无法直言;痛苦是天生没有的表情，是烦恼中的恶魔。
1 她迈着轻轻地脚步，走过了田地;她撒下白白的雪花，飘过了森林
1 她撒下白白的雪花，飘过了森林;她跳着轻盈舞蹈，拥抱着冬天。
1 她，是一盏不灭的明灯，永久地照亮在我生命的黑暗;她，是一叶不歇的扁舟，永久地摆渡在我生命的渡口
1 她，是一叶不歇的扁舟，永久地摆渡在我生命的渡口;她，是一朵永远艳丽鲜花，永久地开放在我生命的花园。
1 他不如百花艳丽多姿，却承载一身的青绿，穿梭在春去秋来;他不如树木的高大挺拔，却沿着绵延的大地，覆盖了无垠世界。
1 他们为了人们的健康而不辞辛劳;他们为了生命的美好而汗流浃背
1 他们为了生命的美好而汗流浃背;他们为了社会的发展而夜以继日。
1 它把春的信息捎来;它把爱的种子撒播
1 它把爱的种子撒播;它把夸姣的祝愿传达
1 它把夸姣的祝愿传达;它把人世的真情传递。
1 太阳无语，却放射出光辉;高山无语，却体现出巍峨
1 高山无语，却体现出巍峨;大地无语，却展示出广博
1 大地无语，却展示出广博;青春无语，却焕发出活力
1 青春无语，却焕发出活力;鲜花无语，却散发出芬芳
1 鲜花无语，却散发出芬芳;春雨无语，却滋润着大地。
1 吻夕阳余辉，爱溢出温柔的眼眸;望四野安详，激情飞上诗句
1 望四野安详，激情飞上诗句;听黄河汩汩，载无数苦难历史
1 听黄河汩汩，载无数苦难历史;观河沙沉沉，积多少美好回忆。
1 巍峨华表，让挺拔身躯披曙光;雄伟安门，让风云迎东升太阳
1 雄伟安门，让风云迎东升太阳;历史耳畔，传礼炮隆隆响。
1 万里长城，闻名中外，气势磅礴;桂林山水，壮美多姿，山清水秀
